app_id,functionality
com_kimchidevs_eyetrackingnotused-decoded,Eye-Tracking Enablement (present but NOT assigned)
com_kimchidevs_eyetrackingnotused-decoded,Foveated Rendering
com_kimchidevs_eyetrackingnotused-decoded,Raw Data Collection
com_kimchidevs_eyetrackingused-decoded,Eye-Tracking Enablement (present but NOT assigned)
com_kimchidevs_eyetrackingused-decoded,Foveated Rendering
com_kimchidevs_eyetrackingused-decoded,Raw Data Collection
com_kimchidevs_noeyetracking-decoded,Eye-Tracking Enablement (present but NOT assigned)
com_kimchidevs_noeyetracking-decoded,Foveated Rendering
com_kimchidevs_noeyetracking-decoded,Raw Data Collection
