app_id,app_categories,primary_category,enablement_only,has_enablement_hits,has_non_enablement_hits,txt_files_scanned,files_with_hits,total_term_hits
com_Skonec1_MRTraveler-decoded,Biometric Signals & Metrics;Eye-Tracking Enablement;Foveated Rendering;Raw Data Collection,Foveated Rendering,0,1,1,,,
com_SoulBridge_SoulmateAI-decoded,Eye-Tracking Enablement;Foveated Rendering;Raw Data Collection,Foveated Rendering,0,1,1,,,
com_TENXVAR_Gorillavs100Men-decoded,Eye-Tracking Enablement;Foveated Rendering,Foveated Rendering,0,1,1,,,
com_ThreePoundGames_Grokit-decoded,Eye-Tracking Enablement;Foveated Rendering;Raw Data Collection,Foveated Rendering,0,1,1,,,
com_TomFoerster_ZombiesMRFree-decoded,Eye-Tracking Enablement;Foveated Rendering;Raw Data Collection,Foveated Rendering,0,1,1,,,
com_TooMuchPolys_JustAnotherCookingGame-decoded,Biometric Signals & Metrics;Foveated Rendering;Gaze Geometry,Foveated Rendering,0,0,1,,,
com_TouchGrassGames_WorstFoodtruck-decoded,Eye-Tracking Enablement;Foveated Rendering;Raw Data Collection,Foveated Rendering,0,1,1,,,
com_TriangleFactory_HyperDash-decoded,Biometric Signals & Metrics;Eye-Tracking Enablement;Foveated Rendering;Gaze Geometry;Raw Data Collection,Foveated Rendering,0,1,1,,,
com_TribeXR_TribeXR-decoded,Biometric Signals & Metrics;Eye-Tracking Enablement;Foveated Rendering;Raw Data Collection,Foveated Rendering,0,1,1,,,
com_TwinSoftwareStudio_TruckParkingSimulatorVRDemo-decoded,Eye-Tracking Enablement;Foveated Rendering;Raw Data Collection,Foveated Rendering,0,1,1,,,
com_UniversalStudios_Vault53-decoded,Biometric Signals & Metrics;Eye-Tracking Enablement;Foveated Rendering;Gaze Geometry;Raw Data Collection,Foveated Rendering,0,1,1,,,
com_Unixity_ProjectRizz-decoded,Biometric Signals & Metrics;Eye-Tracking Enablement;Foveated Rendering;Gaze Geometry;Raw Data Collection,Foveated Rendering,0,1,1,,,
com_VnowGames_BoxingMachineVRDemo-decoded,Eye-Tracking Enablement;Foveated Rendering;Raw Data Collection,Foveated Rendering,0,1,1,,,
com_Waifuverse_AI_Waifu-decoded,Biometric Signals & Metrics;Eye-Tracking Enablement;Foveated Rendering;Raw Data Collection,Foveated Rendering,0,1,1,,,
com_XDEE1_NovaLight-decoded,Eye-Tracking Enablement;Foveated Rendering;Raw Data Collection,Foveated Rendering,0,1,1,,,
com_XORWIRE_StupidChimpSlop-decoded,Eye-Tracking Enablement;Foveated Rendering,Foveated Rendering,0,1,1,,,
com_XRHorizon_FruitBladeVR-decoded,Eye-Tracking Enablement;Foveated Rendering,Foveated Rendering,0,1,1,,,
com_Xenosam_SPEEDSHOOTINGVR-decoded,Eye-Tracking Enablement;Foveated Rendering;Raw Data Collection,Foveated Rendering,0,1,1,,,
com_XlabDigital_IRONGUARDHomecoming-decoded,Eye-Tracking Enablement;Foveated Rendering;Raw Data Collection,Foveated Rendering,0,1,1,,,
com_altereyes_cac-decoded,Eye-Tracking Enablement;Foveated Rendering,Foveated Rendering,0,1,1,,,
com_applebottoms_onboardchessalpha-decoded,Biometric Signals & Metrics;Eye-Tracking Enablement;Foveated Rendering;Raw Data Collection,Foveated Rendering,0,1,1,,,
com_arcanemiracle_wowfree-decoded,Eye-Tracking Enablement;Foveated Rendering;Raw Data Collection,Foveated Rendering,0,1,1,,,
com_armoredpigstudios_beathimup-decoded,Eye-Tracking Enablement;Foveated Rendering;Raw Data Collection,Foveated Rendering,0,1,1,,,
com_beatgames_beatsaber_demo-decoded,Foveated Rendering,Foveated Rendering,0,0,1,,,
com_commutergames_vspeedwayalpha-decoded,Eye-Tracking Enablement;Foveated Rendering;Raw Data Collection,Foveated Rendering,0,1,1,,,
com_emcneill_ironstrike-decoded,Biometric Signals & Metrics;Eye-Tracking Enablement;Foveated Rendering;Gaze Geometry;Raw Data Collection,Foveated Rendering,0,1,1,,,
com_etermax_airportsecurity-decoded,Eye-Tracking Enablement;Foveated Rendering;Raw Data Collection,Foveated Rendering,0,1,1,,,
com_etermax_rushrunners-decoded,Eye-Tracking Enablement;Foveated Rendering;Raw Data Collection,Foveated Rendering,0,1,1,,,
com_ezone_sharks-decoded,Eye-Tracking Enablement;Foveated Rendering;Raw Data Collection,Foveated Rendering,0,1,1,,,
com_forking_vrlegs-decoded,Eye-Tracking Enablement;Foveated Rendering;Raw Data Collection,Foveated Rendering,0,1,1,,,
com_gunraiders-decoded,Eye-Tracking Enablement;Foveated Rendering;Raw Data Collection,Foveated Rendering,0,1,1,,,
com_immersification_vrfs-decoded,Biometric Signals & Metrics;Eye-Tracking Enablement;Foveated Rendering;Gaze Geometry;Raw Data Collection,Foveated Rendering,0,1,1,,,
com_ivanovichgames_finalkickVR-decoded,Biometric Signals & Metrics;Eye-Tracking Enablement;Foveated Rendering;Gaze Geometry;Gaze Interactions;Raw Data Collection,Foveated Rendering,0,1,1,,,
com_ivanovichgames_motionsoccerdemo-decoded,Biometric Signals & Metrics;Eye-Tracking Enablement;Foveated Rendering;Gaze Geometry;Raw Data Collection,Foveated Rendering,0,1,1,,,
com_iz_fire_fighter_rescue_simulator-decoded,Eye-Tracking Enablement;Foveated Rendering,Foveated Rendering,0,1,1,,,
com_jollyco_m3ar-decoded,Biometric Signals & Metrics;Eye-Tracking Enablement;Foveated Rendering;Gaze Geometry;Raw Data Collection,Foveated Rendering,0,1,1,,,
com_liminagames_towerofmonkey-decoded,Eye-Tracking Enablement;Foveated Rendering,Foveated Rendering,0,1,1,,,
com_meta_worlds-decoded,Eye-Tracking Enablement;Foveated Rendering;Gaze Interactions,Foveated Rendering,0,1,1,,,
com_mixrift_hellhorde-decoded,Eye-Tracking Enablement;Foveated Rendering;Raw Data Collection,Foveated Rendering,0,1,1,,,
com_mydearest_devils_roulette-decoded,Biometric Signals & Metrics;Eye-Tracking Enablement;Foveated Rendering;Gaze Geometry;Raw Data Collection,Foveated Rendering,0,1,1,,,
com_nianticlabs_peridot_hellodot-decoded,Eye-Tracking Enablement;Foveated Rendering;Raw Data Collection,Foveated Rendering,0,1,1,,,
com_oisoi_vandalizer-decoded,Eye-Tracking Enablement;Foveated Rendering;Raw Data Collection,Foveated Rendering,0,1,1,,,
com_oisoi_waitwhat-decoded,Biometric Signals & Metrics;Eye-Tracking Enablement;Foveated Rendering;Raw Data Collection,Foveated Rendering,0,1,1,,,
com_ova_StellarXV1-decoded,Biometric Signals & Metrics;Eye-Tracking Enablement;Foveated Rendering;Raw Data Collection,Foveated Rendering,0,1,1,,,
com_quaternionsoftware_rcpilottrainer-decoded,Biometric Signals & Metrics;Eye-Tracking Enablement;Foveated Rendering;Gaze Geometry;Raw Data Collection,Foveated Rendering,0,1,1,,,
com_remio_beastcraft-decoded,Eye-Tracking Enablement;Foveated Rendering,Foveated Rendering,0,1,1,,,
com_resolutiongames_baitsantacruz-decoded,Biometric Signals & Metrics;Eye-Tracking Enablement;Foveated Rendering;Raw Data Collection,Foveated Rendering,0,1,1,,,
com_roblox_client-decoded,Foveated Rendering,Foveated Rendering,0,0,1,,,
com_rsquaregames_vrealmfunverse-decoded,Eye-Tracking Enablement;Foveated Rendering;Raw Data Collection,Foveated Rendering,0,1,1,,,
com_suponoholdings_com_planegamepro-decoded,Eye-Tracking Enablement;Foveated Rendering;Raw Data Collection,Foveated Rendering,0,1,1,,,
com_survios_CreedDemo-decoded,Biometric Signals & Metrics;Eye-Tracking Enablement;Foveated Rendering,Foveated Rendering,0,1,1,,,
