apk,app_categories,primary_category,enablement_only,has_enablement_hits,has_non_enablement_hits,txt_files_scanned,files_with_hits,total_term_hits
com_kimchidevs_eyetrackingnotused-decoded,Foveated Rendering;Raw Data Collection,Foveated Rendering,0,1,1,45,3,31
com_kimchidevs_eyetrackingused-decoded,Foveated Rendering;Raw Data Collection,Foveated Rendering,0,1,1,45,3,31
com_kimchidevs_noeyetracking-decoded,Foveated Rendering;Raw Data Collection,Foveated Rendering,0,1,1,40,3,31
