Decoded File Name,Manifest Eye Tracking Declaration,Eye-Tracking Enablement (present but NOT assigned),Foveated Rendering,Raw Data Collection
com_kimchidevs_eyetrackingnotused-decoded,Eye Tracking Tag In Manifest,Used In App,Used In App,Used In App
com_kimchidevs_eyetrackingused-decoded,Eye Tracking Tag In Manifest,Used In App,Used In App,Used In App
com_kimchidevs_noeyetracking-decoded,Eye Tracking Tag Not In Manifest,Used In App,Used In App,Used In App
